id_transmission,id_pays,besoin_arv_min,besoin_arv_median,besoin_arv_max,pourcentage_recu_min,pourcentage_recu_median,pourcentage_recu_max
1,1,100.0,200.0,500.0,7.0,11.0,18.0
2,3,500.0,500.0,500.0,69.0,74.0,78.0
3,4,19000.0,25000.0,32000.0,29.0,38.0,48.0
4,5,1600.0,1800.0,2000.0,85.0,95.0,95.0
5,7,100.0,100.0,100.0,,,
6,10,100.0,100.0,200.0,51.0,58.0,65.0
7,12,200.0,200.0,200.0,24.0,28.0,33.0
8,14,200.0,500.0,500.0,67.0,90.0,95.0
9,16,100.0,100.0,200.0,39.0,44.0,49.0
10,17,1600.0,2600.0,4300.0,95.0,95.0,95.0
11,19,500.0,500.0,500.0,95.0,95.0,95.0
12,21,10000.0,13000.0,14000.0,77.0,95.0,95.0
13,25,3600.0,4900.0,6100.0,71.0,95.0,95.0
14,26,3800.0,5000.0,6000.0,61.0,80.0,95.0
15,28,600.0,730.0,850.0,71.0,85.0,95.0
16,29,21000.0,27000.0,32000.0,61.0,80.0,94.0
17,31,3300.0,4500.0,5800.0,52.0,71.0,91.0
18,32,7200.0,10000.0,13000.0,40.0,56.0,72.0
19,33,500.0,500.0,500.0,95.0,95.0,95.0
20,35,1900.0,2300.0,2700.0,17.0,21.0,25.0
21,37,2800.0,4100.0,5800.0,17.0,25.0,36.0
22,39,13000.0,18000.0,24000.0,65.0,90.0,95.0
23,41,200.0,200.0,200.0,86.0,95.0,95.0
24,45,20000.0,26000.0,31000.0,33.0,44.0,52.0
25,47,200.0,500.0,500.0,22.0,30.0,39.0
26,48,690.0,910.0,1200.0,64.0,84.0,95.0
27,49,500.0,500.0,620.0,68.0,95.0,95.0
28,50,500.0,500.0,500.0,15.0,16.0,18.0
29,51,500.0,500.0,500.0,33.0,40.0,46.0
30,52,1800.0,2600.0,3500.0,35.0,50.0,68.0
31,53,500.0,500.0,690.0,34.0,48.0,69.0
32,55,9000.0,11000.0,12000.0,66.0,79.0,89.0
33,56,14000.0,20000.0,28000.0,63.0,92.0,95.0
34,59,1100.0,1200.0,1300.0,,,
35,60,1900.0,2700.0,3600.0,52.0,72.0,95.0
36,61,820.0,1000.0,1300.0,54.0,68.0,86.0
37,63,500.0,500.0,500.0,,,
38,64,12000.0,16000.0,21000.0,58.0,79.0,95.0
39,66,720.0,790.0,870.0,31.0,34.0,38.0
40,67,3800.0,5100.0,6600.0,48.0,65.0,84.0
41,68,1700.0,2100.0,2500.0,38.0,48.0,58.0
42,69,200.0,200.0,500.0,67.0,89.0,95.0
43,70,4700.0,5900.0,6800.0,67.0,83.0,95.0
44,71,500.0,500.0,500.0,48.0,59.0,72.0
45,75,10000.0,12000.0,14000.0,13.0,15.0,18.0
46,76,200.0,500.0,840.0,41.0,81.0,95.0
47,77,100.0,100.0,100.0,,,
48,78,100.0,100.0,100.0,,,
49,79,500.0,500.0,500.0,,,
50,80,500.0,500.0,500.0,95.0,95.0,95.0
51,83,550.0,610.0,660.0,54.0,59.0,65.0
52,84,49000.0,63000.0,80000.0,70.0,91.0,95.0
53,86,200.0,200.0,500.0,69.0,88.0,95.0
54,87,500.0,500.0,500.0,31.0,35.0,41.0
55,90,8200.0,11000.0,12000.0,59.0,77.0,89.0
56,91,1500.0,2000.0,2300.0,70.0,93.0,95.0
57,92,100.0,200.0,200.0,56.0,63.0,69.0
58,95,820.0,1100.0,1600.0,19.0,25.0,36.0
59,96,34000.0,45000.0,53000.0,80.0,95.0,95.0
60,97,500.0,500.0,500.0,86.0,95.0,95.0
61,99,8300.0,10000.0,13000.0,19.0,24.0,31.0
62,101,200.0,200.0,200.0,31.0,38.0,47.0
63,102,100.0,100.0,100.0,95.0,95.0,95.0
64,106,500.0,500.0,500.0,50.0,61.0,78.0
65,107,78000.0,110000.0,140000.0,73.0,95.0,95.0
66,108,4700.0,5400.0,6100.0,69.0,80.0,89.0
67,109,8200.0,10000.0,12000.0,92.0,95.0,95.0
68,110,500.0,500.0,500.0,43.0,51.0,60.0
69,113,200.0,200.0,200.0,73.0,90.0,95.0
